Dendrometer,.id,Timestamp,Moisture,T1,T2,T3,Radius
FB7b,43670,2023-03-21T12:15:00Z,4,16,-200,-200,2929.5541226086425
FB7b,43671,2023-03-21T12:30:00Z,4,16,-200,-200,2929.825805268627
FB7b,43672,2023-03-21T12:45:00Z,4,16.125,-200,-200,2929.825805268627
FB7b,43673,2023-03-21T13:00:00Z,4,16.25,-200,-200,2930.097487928611
FB7b,43674,2023-03-21T13:15:00Z,4,16.1875,-200,-200,2929.825805268627
FB7b,43675,2023-03-21T13:30:00Z,4,15.9375,-200,-200,2930.097487928611
FB7b,43676,2023-03-21T13:45:00Z,4,16,-200,-200,2930.097487928611
FB7b,43677,2023-03-21T14:00:00Z,4,16,-200,-200,2929.825805268627
FB7b,43678,2023-03-21T14:15:00Z,4,16.25,-200,-200,2930.097487928611
FB7b,43679,2023-03-21T14:30:00Z,4,16.75,-200,-200,2930.097487928611
FB7b,43680,2023-03-21T14:45:00Z,4,17.5,-200,-200,2930.097487928611
FB7b,43681,2023-03-21T15:00:00Z,4,17.625,-200,-200,2930.097487928611
FB7b,43682,2023-03-21T15:15:00Z,4,17.25,-200,-200,2930.369170588595
FB7b,43683,2023-03-21T15:30:00Z,4,17.875,-200,-200,2930.097487928611
FB7b,43684,2023-03-21T15:45:00Z,4,19,-200,-200,2930.097487928611
FB7b,43685,2023-03-21T16:00:00Z,4,19.5,-200,-200,2930.097487928611
FB7b,43686,2023-03-21T16:15:00Z,4,23.875,-200,-200,2929.5541226086425
FB7b,43687,2023-03-21T16:30:00Z,4,21.1875,-200,-200,2929.0107572886745
FB7b,43688,2023-03-21T16:45:00Z,4,19.875,-200,-200,2929.0107572886745
FB7b,43689,2023-03-21T17:00:00Z,4,19.75,-200,-200,2928.7390746286906
FB7b,43690,2023-03-21T17:15:00Z,4,19.875,-200,-200,2929.0107572886745
FB7b,43691,2023-03-21T17:30:00Z,4,19.75,-200,-200,2928.195709308722
FB7b,43692,2023-03-21T17:45:00Z,4,17.5,-200,-200,2928.195709308722
FB7b,43693,2023-03-21T18:00:00Z,4,18.125,-200,-200,2927.3806613287697
FB7b,43694,2023-03-21T18:15:00Z,4,18.75,-200,-200,2927.1089786687858
FB7b,43695,2023-03-21T18:30:00Z,4,18.75,-200,-200,2926.5656133488174
FB7b,43696,2023-03-21T18:45:00Z,4,17.625,-200,-200,2926.2939306888334
FB7b,43697,2023-03-21T19:00:00Z,4,18.0625,-200,-200,2925.750565368865
FB7b,43698,2023-03-21T19:15:00Z,4,18.25,-200,-200,2924.935517388913
FB7b,43699,2023-03-21T19:30:00Z,4,18.625,-200,-200,2924.935517388913
FB7b,43700,2023-03-21T19:45:00Z,4,18.375,-200,-200,2924.6638347289286
FB7b,43701,2023-03-21T20:00:00Z,4,17.875,-200,-200,2924.1204694089606
FB7b,43702,2023-03-21T20:15:00Z,4,18.75,-200,-200,2923.848786748976
FB7b,43703,2023-03-21T20:30:00Z,4,18.5,-200,-200,2923.305421429008
FB7b,43704,2023-03-21T20:45:00Z,4,19.125,-200,-200,2922.76205610904
FB7b,43705,2023-03-21T21:00:00Z,4,19.125,-200,-200,2921.9470081290874
FB7b,43706,2023-03-21T21:15:00Z,4,18.625,-200,-200,2921.9470081290874
FB7b,43707,2023-03-21T21:30:00Z,4,18.625,-200,-200,2921.4036428091194
FB7b,43708,2023-03-21T21:45:00Z,4,17.75,-200,-200,2919.7735468492147
FB7b,43709,2023-03-21T22:00:00Z,4,17.75,-200,-200,2919.5018641892307
FB7b,43710,2023-03-21T22:15:00Z,4,17.375,-200,-200,2919.5018641892307
FB7b,43711,2023-03-21T22:30:00Z,4,17.5,-200,-200,2918.9584988692623
FB7b,43712,2023-03-21T22:45:00Z,4,17.375,-200,-200,2918.4151335492943
FB7b,43713,2023-03-21T23:00:00Z,4,17.1875,-200,-200,2918.4151335492943
FB7b,43714,2023-03-21T23:15:00Z,4,17,-200,-200,2918.1434508893103
FB7b,43715,2023-03-21T23:30:00Z,4,16.75,-200,-200,2917.871768229326
FB7b,43716,2023-03-21T23:45:00Z,4,16.5,-200,-200,2917.871768229326
FB7b,43717,2023-03-22T00:00:00Z,4,16.375,-200,-200,2917.600085569342
FB7b,43718,2023-03-22T00:15:00Z,4,16.25,-200,-200,2917.600085569342
FB7b,43719,2023-03-22T00:30:00Z,4,16.0625,-200,-200,2917.600085569342
FB7b,43720,2023-03-22T00:45:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43721,2023-03-22T01:00:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43722,2023-03-22T01:15:00Z,4,15.75,-200,-200,2917.600085569342
FB7b,43723,2023-03-22T01:30:00Z,4,15.625,-200,-200,2917.600085569342
FB7b,43724,2023-03-22T01:45:00Z,4,15.625,-200,-200,2917.600085569342
FB7b,43725,2023-03-22T02:00:00Z,4,15.5625,-200,-200,2917.600085569342
FB7b,43726,2023-03-22T02:15:00Z,4,15.625,-200,-200,2917.600085569342
FB7b,43727,2023-03-22T02:30:00Z,4,15.6875,-200,-200,2917.600085569342
FB7b,43728,2023-03-22T02:45:00Z,4,15.5,-200,-200,2917.600085569342
FB7b,43729,2023-03-22T03:00:00Z,4,15.625,-200,-200,2917.600085569342
FB7b,43730,2023-03-22T03:15:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43731,2023-03-22T03:30:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43732,2023-03-22T03:45:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43733,2023-03-22T04:00:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43734,2023-03-22T04:15:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43735,2023-03-22T04:30:00Z,4,15.875,-200,-200,2917.600085569342
FB7b,43736,2023-03-22T04:45:00Z,4,16,-200,-200,2917.871768229326
FB7b,43737,2023-03-22T05:00:00Z,4,15.875,-200,-200,2917.871768229326
FB7b,43738,2023-03-22T05:15:00Z,4,15.8125,-200,-200,2917.871768229326
FB7b,43739,2023-03-22T05:30:00Z,4,15.875,-200,-200,2917.871768229326
FB7b,43740,2023-03-22T05:45:00Z,4,16,-200,-200,2917.871768229326
FB7b,43741,2023-03-22T06:00:00Z,4,16.125,-200,-200,2917.871768229326
FB7b,43742,2023-03-22T06:15:00Z,4,16.1875,-200,-200,2917.871768229326
FB7b,43743,2023-03-22T06:30:00Z,4,16.125,-200,-200,2917.871768229326
FB7b,43744,2023-03-22T06:45:00Z,4,16,-200,-200,2917.871768229326
FB7b,43745,2023-03-22T07:00:00Z,4,16,-200,-200,2917.871768229326
FB7b,43746,2023-03-22T07:15:00Z,4,15.75,-200,-200,2918.1434508893103
FB7b,43747,2023-03-22T07:30:00Z,4,15.6875,-200,-200,2918.1434508893103
FB7b,43748,2023-03-22T07:45:00Z,4,15.5625,-200,-200,2918.1434508893103
FB7b,43749,2023-03-22T08:00:00Z,4,15.5625,-200,-200,2918.1434508893103
FB7b,43750,2023-03-22T08:15:00Z,4,15.625,-200,-200,2917.871768229326
FB7b,43751,2023-03-22T08:30:00Z,4,15.625,-200,-200,2918.1434508893103
FB7b,43752,2023-03-22T08:45:00Z,4,15.625,-200,-200,2918.1434508893103
FB7b,43753,2023-03-22T09:00:00Z,4,15.625,-200,-200,2918.1434508893103
FB7b,43754,2023-03-22T09:15:00Z,4,15.625,-200,-200,2918.1434508893103
FB7b,43755,2023-03-22T09:30:00Z,4,15.375,-200,-200,2918.4151335492943
FB7b,43756,2023-03-22T09:45:00Z,4,15.1875,-200,-200,2918.6868162092783
FB7b,43757,2023-03-22T10:00:00Z,4,14.75,-200,-200,2920.588594829167
FB7b,43758,2023-03-22T10:15:00Z,4,14.625,-200,-200,2920.860277489151
FB7b,43759,2023-03-22T10:30:00Z,4,14.375,-200,-200,2921.6753254691034
FB7b,43760,2023-03-22T10:45:00Z,4,14.25,-200,-200,2922.490373449056
FB7b,43761,2023-03-22T11:00:00Z,4,14.25,-200,-200,2923.0337387690242
FB7b,43762,2023-03-22T11:15:00Z,4,14.4375,-200,-200,2924.1204694089606
FB7b,43763,2023-03-22T11:30:00Z,4,14.375,-200,-200,2925.478882708881
FB7b,43764,2023-03-22T11:45:00Z,4,14.375,-200,-200,2926.2939306888334
FB7b,43765,2023-03-22T12:00:00Z,4,14.375,-200,-200,2927.3806613287697
FB7b,43766,2023-03-22T12:15:00Z,4,14.25,-200,-200,2928.467391968706
